"Countries and regions","Population (Total)","Population (Under18)","Population (Under 5)","Annual population growth rate (2000-2020)","Annual population growth rate (2020-2030)","Annual number of births (thousands)","Total fertility (live births per woman)","Life expectancy at birth (1970)","Life expectancy at birth (2000)","Life expectancy at birth (2021)","Dependency ratio (total)","Dependency ratio (child)","Dependency ratio (old age)","Share of urban population (%)","Annual growth rate of urban population (2000-2020)","Annual growth rate of urban population (2020-2030)","Net migration rate (per 1,000 population)","Out-of-school rate: one year before primary entry age (Male)","Out-of-school rate: one year before primary entry age (Female)","Out-of-school rate: primary education (Male)","Out-of-school rate: primary education (Female)","Out-of-school rate: lower secondary education (Male)","Out-of-school rate: lower secondary education (Female)","Out-of-school rate: upper secondary education (Male)","Out-of-school rate: upper secondary education (Female)","Gini coefficient","GDP per capita"
"Afghanistan",40099.462,"20297.885999999999","6490.5540000000001",3.28682420696227,2.3251690622007,1440.941,4.6434,37.4178,55.2978,61.9824,"84.599000000000004","80.161000000000001","4.4379999999999997","26.314","4.0702261153356298","3.49159299206798",-4.569,NA,NA,NA,NA,NA,NA,"43.780520000000003","68.688249999999996",NA,"507.10343189999998"
"Albania",2854.71,"574.38750000000005","141.393",-0.496681093197832,-0.248324219496713,29.289,1.3897,64.8239,75.4043,76.4626,"48.183","24.126999999999999","24.056000000000001","62.969000000000001","1.39596342008939","0.77128762825853103",-3.71,"3.8969399999999998","1.8451900000000001","5.5403200000000004","1.9324399999999999","5.4786799999999998","1.3040099999999999","21.924659999999999","15.10066","1.27","5353.2448560000003"
"Algeria",44177.9685,"15526.205","4870.8424999999997",1.64266112902594,1.23736723704826,950.888,2.8886,43.1597,70.4779,76.3767,"58.463999999999999","48.667999999999999","9.7959999999999994","74.260999999999996","2.6305507005642599","1.7846336801401299",-0.425,NA,NA,NA,NA,NA,NA,NA,NA,"0.99","3973.9640720000002"
"Andorra",79.034,"12.7765","2.5385",0.770115870065779,0.437249045421037,0.567,1.1254,74.2557,80.9193,80.3684,"38.140999999999998","18.062000000000001","20.079999999999998","87.858000000000004","0.53349181542596302","0.42648861275421202",17.556,NA,NA,NA,NA,NA,NA,NA,NA,"1","40886.391159999999"
"Angola",34503.7735,"17832.975999999999","5983.4065000000001",3.3928057840403,2.68444661410197,1338.792,5.3044,40.1904,46.0236,61.6434,"91.474000000000004","86.506","4.968","67.459999999999994","4.7657380156741898","3.4312064449672599",0.843,"31.181039999999999","38.515030000000003",NA,NA,NA,NA,NA,NA,"3.46","2790.726615"
"Anguilla",15.753,"3.29","0.79849999999999999",1.63859407236449,0.270103766565242,0.15,1.273,65.1144,75.9922,76.6138,"38.567","24.436","14.131","100","1.6385940723644901","0.27010376656524199",7.07,"14.232670000000001","0",NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda",93.2195,"21.334499999999998","5.3114999999999997",1.00361366437098,0.463408083790753,1.129,1.5798,70.0583,74.6058,78.4968,"40.872","26.513999999999999","14.359","24.38","-0.30001548096337599","0.59417758032208601",0,"13.50614","4.2194099999999999","1.5834299999999999","1.8746100000000001","1.77203","3.2762799999999999","12.002789999999999","13.390309999999999",NA,"17112.82113"
"Argentina",45276.78,"12668.845499999999","3332.7415000000001",0.926828560043024,0.518354099657528,629.391,1.8854,65.5887,73.926,75.3899,"54.27","36.031999999999996","18.238","92.228999999999999","1.0828465011975901","0.629981036749377",0.052,"1.1415500000000001","0.29380000000000001",NA,NA,"0.63536999999999999","1.2537","14.56729","6.6132099999999996","2.12","9912.2818090000001"
"Armenia",2790.9735,"669.17550000000006","182.91900000000001",-0.579263128659198,-0.150551069928803,33.7,1.575,63.8727,70.6236,72.0431,"49.628999999999998","30.558","19.071000000000002","63.430999999999997","-0.67995304176090798","0.16483092435855901",-4.585,"36.261139999999997","37.948259999999998","10.54438","10.40104","10.781409999999999","8.6264299999999992","13.186249999999999","1.4350000000000001","1.44","4622.7334929999997"
"Australia",25921.089,"5666.9380000000001","1537.473",1.42829051699059,0.855296499628569,298.496,1.5962,70.6537,79.6309,84.5265,"53.71","28.242000000000001","25.468","86.361999999999995","1.5403628541458301","0.99982211705697799",4.56,"17.756430000000002","18.162880000000001","1.39621","1.5192099999999999","1.8969","2.15327","8.8539999999999992","5.5267999999999997","1.3","55057.204700000002"
"Austria",8922.082,"1542.2840000000001","430.8485",0.505621238687098,0.148595907966248,84.647,1.4701,70.0864,78.2358,81.5797,"51.118000000000002","21.739000000000001","29.379000000000001","58.994999999999997","0.388329972240195","0.61357542548163502",2.279,"2.1331199999999999","0.78944000000000003","0.28883999999999999","0.11877","1.12154","0.45182","10.51243","8.99559","0.97","50121.554210000002"
"Azerbaijan",10312.992,"2895.904","705.32500000000005",1.08441292435359,0.369112931428356,127.085,1.6638,59.0184,64.8905,69.3658,"44.179000000000002","34.494999999999997","9.6839999999999993","56.776000000000003","1.52750913283016","1.04937083118149",0.105,"16.28059","17.318300000000001","12.06504","8.6067800000000005","0.76283000000000001","0.46449000000000001","0.12584000000000001","0.17080000000000001","0.66","4793.1255590000001"
"Bahamas",407.9055,"99.796499999999995","23.202500000000001",1.06497884525647,0.508301719786879,4.666,1.3889,65.9258,72.0411,71.5983,"39.256999999999998","27.326000000000001","11.930999999999999","83.364999999999995","1.1363286429819901","0.66818573064389997",1.19,"64.390069999999994","60.392609999999998",NA,NA,NA,NA,NA,NA,"1.97","34863.742100000003"
"Bahrain",1463.2655,"347.72250000000003","97.609499999999997",3.47996129231147,0.579281393557077,17.501,1.811,64.4498,75.4964,78.7605,"31.347000000000001","26.765000000000001","4.5819999999999999","89.622","3.54067788636458","0.71257181151249804",-6.235,"31.478090000000002","28.214040000000001","1.8661300000000001","2.8348100000000001","7.0371699999999997","0.12792000000000001","18.122140000000002","6.3463599999999998",NA,"23503.977129999999"
"Bangladesh",169356.251,"54801.034500000002","14663.335499999999",1.23429219593509,0.879335727646025,3019.672,1.981,42.5867,65.7791,72.3811,"47.667000000000002","39.061999999999998","8.6050000000000004","38.945999999999998","3.5267224179378598","2.50133402476615",-1.03,NA,NA,NA,NA,"40.494889999999998","25.43216","40.16995","33.459099999999999","2.93","1855.739824"
"Barbados",281.1995,"58.965499999999999","15.0845",0.280128082945181,0.0770299695269493,3.046,1.6327,68.2725,74.0891,77.5714,"48.981999999999999","25.568999999999999","23.413","31.245999999999999","-0.106203862335447","0.52652906603263805",-0.1,"12.8628","12.04654","1.97899","3.3452600000000001","3.5863800000000001","3.7429100000000002","7.9036","4.2407700000000004","3.07","18148.244930000001"
"Belarus",9578.1675,"1901.431","473.71249999999998",-0.298277965287934,-0.412706005007517,88.853,1.483,71.2458,69.1801,72.438,"50.76","25.388999999999999","25.372","79.91","0.30854922023236903","1.0977829208155101E-2",1.354,"0.42219000000000001","3.5538799999999999","4.5055199999999997","6.0293400000000004","1.2888200000000001","0.81306","7.7514000000000003","4.5875300000000001","0.88","6697.9686149999998"
